Date,Consensus Mean,Consensus High,Consensus Low,Actual,,,,
Sep-29-2020,5.07,5.95,4.6,4.24,,,,
Sep-30-2020,5.07,5.95,4.6,4.08,,,,
Oct-01-2020,5.07,5.95,4.6,4.15,,,,
Oct-02-2020,5.07,5.95,4.6,4.16,,,,
Oct-03-2020,5.07,5.95,4.6,4.16,,,,
Oct-04-2020,5.07,5.95,4.6,4.16,,,,
Oct-05-2020,5.07,5.95,4.6,4.37,,,,
Oct-06-2020,5.07,5.95,4.6,4.32,,,,
Oct-07-2020,5.07,5.95,4.6,4.32,,,,
Oct-08-2020,5.07,5.95,4.6,4.31,,,,
Oct-09-2020,5.07,5.95,4.6,4.27,,,,
Oct-10-2020,5.07,5.95,4.6,4.27,,,,
Oct-11-2020,5.07,5.95,4.6,4.27,,,,
Oct-12-2020,5.07,5.95,4.6,4.24,,,,
Oct-13-2020,5.07,5.95,4.6,4.41,,,,
Oct-14-2020,5.07,5.95,4.6,4.45,,,,
Oct-15-2020,5.07,5.95,4.6,4.48,,,,
Oct-16-2020,5.07,5.95,4.6,4.51,,,,
Oct-17-2020,5.07,5.95,4.6,4.51,,,,
Oct-18-2020,5.07,5.95,4.6,4.51,,,,
Oct-19-2020,5.07,5.95,4.6,4.54,,,,
Oct-20-2020,5.07,5.95,4.6,4.47,,,,
Oct-21-2020,5.07,5.95,4.6,4.47,,,,
Oct-22-2020,5.07,5.95,4.6,4.43,,,,
Oct-23-2020,5.07,5.95,4.6,4.36,,,,
Oct-24-2020,5.07,5.95,4.6,4.36,,,,
Oct-25-2020,5.07,5.95,4.6,4.36,,,,
Oct-26-2020,5.07,5.95,4.6,4.34,,,,
Oct-27-2020,5.07,5.95,4.6,4.3,,,,
Oct-28-2020,5.07,5.95,4.6,4.31,,,,
Oct-29-2020,5.07,5.95,4.6,4.25,,,,
Oct-30-2020,5.07,5.95,4.6,4.16,,,,
Oct-31-2020,5.07,5.95,4.6,4.16,,,,
Nov-01-2020,5.07,5.95,4.6,4.16,,,,
Nov-02-2020,5.07,5.95,4.6,4.14,,,,
Nov-03-2020,5.07,5.95,4.6,4.22,,,,
Nov-04-2020,5.07,5.95,4.6,4.25,,,,
Nov-05-2020,5.03,5.95,4.6,4.35,,,,
Nov-06-2020,5.03,5.95,4.6,4.37,,,,
Nov-07-2020,5.03,5.95,4.6,4.37,,,,
Nov-08-2020,5.07,5.95,4.6,4.37,,,,
Nov-09-2020,5.07,5.95,4.6,4.54,,,,
Nov-10-2020,5.07,5.95,4.6,4.63,,,,
Nov-11-2020,5.07,5.95,4.6,4.75,,,,
Nov-12-2020,5.07,5.95,4.6,4.73,,,,
Nov-13-2020,5.07,5.95,4.6,4.68,,,,
Nov-14-2020,5.07,5.95,4.6,4.68,,,,
Nov-15-2020,5.07,5.95,4.6,4.68,,,,
Nov-16-2020,5.07,5.95,4.6,4.73,,,,
Nov-17-2020,5.07,5.95,4.6,4.81,,,,
Nov-18-2020,5.07,5.95,4.6,4.93,,,,
Nov-19-2020,5.07,5.95,4.6,4.96,,,,
Nov-20-2020,5.07,5.95,4.6,4.96,,,,
Nov-21-2020,5.07,5.95,4.6,4.96,,,,
Nov-22-2020,5.07,5.95,4.6,4.96,,,,
Nov-23-2020,5.07,5.95,4.6,4.94,,,,
Nov-24-2020,5.07,5.95,4.6,4.98,,,,
Nov-25-2020,5.07,5.95,4.6,5.1,,,,
Nov-26-2020,5.07,5.95,4.6,5.18,,,,
Nov-27-2020,5.07,5.95,4.6,5.17,,,,
Nov-28-2020,5.07,5.95,4.6,5.17,,,,
Nov-29-2020,5.07,5.95,4.6,5.17,,,,
Nov-30-2020,5.07,5.95,4.6,5.14,,,,
Dec-01-2020,5.07,5.95,4.6,5.21,,,,
Dec-02-2020,5.07,5.95,4.6,5.2,,,,
Dec-03-2020,5.09,5.95,4.6,5.11,,,,
Dec-04-2020,5.09,5.95,4.6,5.13,,,,
Dec-05-2020,5.09,5.95,4.6,5.13,,,,
Dec-06-2020,5.09,5.95,4.6,5.13,,,,
Dec-07-2020,5.09,5.95,4.6,5.13,,,,
Dec-08-2020,5.09,5.95,4.6,5.16,,,,
Dec-09-2020,5.09,5.95,4.6,5.19,,,,
Dec-10-2020,5.09,5.95,4.6,5.22,,,,
Dec-11-2020,5.09,5.95,4.6,5.21,,,,
Dec-12-2020,5.09,5.95,4.6,5.21,,,,
Dec-13-2020,5.09,5.95,4.6,5.21,,,,
Dec-14-2020,5.09,5.95,4.6,5.47,,,,
Dec-15-2020,5.17,5.95,4.6,5.59,,,,
Dec-16-2020,5.17,5.95,4.6,5.45,,,,
Dec-17-2020,5.17,5.95,4.6,5.41,,,,
Dec-18-2020,5.17,5.95,4.6,5.62,,,,
Dec-19-2020,5.17,5.95,4.6,5.62,,,,
Dec-20-2020,5.17,5.95,4.6,5.62,,,,
Dec-21-2020,5.2,6.15,4.6,5.8,,,,
Dec-22-2020,5.2,6.15,4.6,5.83,,,,
Dec-23-2020,5.2,6.15,4.6,5.87,,,,
Dec-24-2020,5.2,6.15,4.6,5.81,,,,
Dec-25-2020,5.2,6.15,4.6,5.81,,,,
Dec-26-2020,5.2,6.15,4.6,5.81,,,,
Dec-27-2020,5.27,6.15,4.6,5.81,,,,
Dec-28-2020,5.27,6.15,4.6,5.81,,,,
Dec-29-2020,5.27,6.15,4.6,5.92,,,,
Dec-30-2020,5.27,6.15,4.6,6.01,,,,
Dec-31-2020,5.27,6.15,4.6,5.97,,,,
Jan-01-2021,5.27,6.15,4.6,5.97,,,,
Jan-02-2021,5.27,6.15,4.6,5.97,,,,
Jan-03-2021,5.27,6.15,4.6,5.97,,,,
Jan-04-2021,5.27,6.15,4.6,6.04,,,,
Jan-05-2021,5.27,6.15,4.6,6.06,,,,
Jan-06-2021,5.27,6.15,4.6,6.06,,,,
Jan-07-2021,5.27,6.15,4.6,6.05,,,,
Jan-08-2021,5.27,6.15,4.6,5.9,,,,
Jan-09-2021,5.27,6.15,4.6,5.9,,,,
Jan-10-2021,5.36,6.15,4.6,5.9,,,,
Jan-11-2021,5.36,6.15,4.6,5.76,,,,
Jan-12-2021,5.36,6.15,4.6,5.81,,,,
Jan-13-2021,5.36,6.15,4.6,5.92,,,,
Jan-14-2021,5.36,6.15,4.6,5.91,,,,
Jan-15-2021,5.36,6.15,4.6,5.86,,,,
Jan-16-2021,5.36,6.15,4.6,5.86,,,,
Jan-17-2021,5.36,6.15,4.6,5.86,,,,
Jan-18-2021,5.49,6.67,4.6,5.82,,,,
Jan-19-2021,5.49,6.67,4.6,5.81,,,,
Jan-20-2021,5.49,6.67,4.6,5.78,,,,
Jan-21-2021,5.49,6.67,4.6,5.78,,,,
Jan-22-2021,5.49,6.67,4.6,5.77,,,,
Jan-23-2021,5.49,6.67,4.6,5.77,,,,
Jan-24-2021,5.49,6.67,4.6,5.77,,,,
Jan-25-2021,5.57,6.67,4.6,5.74,,,,
Jan-26-2021,5.57,6.67,4.6,5.74,,,,
Jan-27-2021,5.57,6.67,4.6,5.69,,,,
Jan-28-2021,5.57,6.67,4.6,5.49,,,,
Jan-29-2021,5.57,6.67,4.6,5.52,,,,
Jan-30-2021,5.57,6.67,4.6,5.52,,,,
Jan-31-2021,5.57,6.67,4.6,5.52,,,,
Feb-01-2021,5.58,6.67,4.7,5.61,,,,
Feb-02-2021,5.58,6.67,4.7,5.68,,,,
Feb-03-2021,5.58,6.67,4.7,5.74,,,,
Feb-04-2021,5.58,6.67,4.7,5.65,,,,
Feb-05-2021,5.58,6.67,4.7,5.71,,,,
Feb-06-2021,5.58,6.67,4.7,5.71,,,,
Feb-07-2021,5.58,6.67,4.7,5.71,,,,
Feb-08-2021,5.58,6.67,4.7,5.61,,,,
Feb-09-2021,5.58,6.67,4.7,5.64,,,,
Feb-10-2021,5.58,6.67,4.7,5.63,,,,
Feb-11-2021,5.58,6.67,4.7,5.44,,,,
Feb-12-2021,5.58,6.67,4.7,5.46,,,,
Feb-13-2021,5.58,6.67,4.7,5.46,,,,
Feb-14-2021,5.58,6.67,4.7,5.46,,,,
Feb-15-2021,5.64,6.67,4.7,5.44,,,,
Feb-16-2021,5.64,6.67,4.7,5.44,,,,
